INDEX	PLAYER	TEAM	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF	POSITION	YEAR	BB	IBB	HBP	SO	GDP	SLG	OBP	OPS	MH	RISP	PH-BA	XBH	GO	AO	GO/AO	GW/RBI	BB/K	P/PA	ISOP	XR	GPA
5	가코	삼성	0.243	58	220	189	21	46	8	0	1	57	28	0	4	Infielder	2011	22	0	5	34	12	0.302	0.332	0.634	14	0.281	0.25	9	55	58	0.95	0	0.65	4.07	0.058	18.5	0.225
6	채태인	삼성	0.22	53	218	182	25	40	7	1	5	64	28	0	2	Infielder	2011	33	0	1	59	1	0.352	0.339	0.691	11	0.238	0	13	43	42	1.02	0	0.56	4.35	0.132	25.6	0.241
7	조동찬	삼성	0.216	85	235	208	27	45	7	0	4	64	25	3	3	Infielder	2011	19	0	2	47	4	0.308	0.284	0.592	10	0.217	0.077	11	52	67	0.78	0	0.4	3.84	0.091	22.6	0.205
8	신명철	삼성	0.208	117	382	331	38	69	11	2	2	90	39	8	2	Infielder	2011	38	0	3	68	10	0.272	0.294	0.566	16	0.242	0.25	15	106	90	1.18	0	0.56	3.99	0.063	26.2	0.2
9	모상기	삼성	0.189	32	85	74	7	14	3	0	4	29	11	0	1	Infielder	2011	10	0	0	29	2	0.392	0.282	0.674	3	0.15	0.111	7	15	17	0.88	0	0.34	4.46	0.203	8.8	0.225
10	강명구	삼성	0.172	89	66	58	22	10	1	0	1	14	5	2	1	Infielder	2011	5	0	0	16	0	0.241	0.234	0.475	1	0.25	0.182	2	19	14	1.36	0	0.31	3.7	0.069	6	0.166
11	김정혁	삼성	0	3	2	2	0	0	0	0	0	0	0	0	0	Infielder	2011	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2.5	0	-0.2	0
1	최형우	삼성	0.34	133	571	480	80	163	37	3	30	296	118	0	10	Outfielder	2011	76	15	5	88	8	0.617	0.427	1.044	48	0.35	0	70	95	144	0.66	0	0.86	4.14	0.277	116.9	0.346
2	배영섭	삼성	0.294	99	384	340	51	100	15	0	2	121	24	4	2	Outfielder	2011	29	1	9	47	9	0.356	0.363	0.719	28	0.219	0	17	120	75	1.6	0	0.62	3.86	0.062	47	0.252
3	강봉규	삼성	0.267	52	168	146	14	39	7	1	1	51	18	0	2	Outfielder	2011	17	0	2	24	3	0.349	0.347	0.696	10	0.286	0.167	9	45	40	1.13	0	0.71	3.87	0.082	19	0.243
4	박한이	삼성	0.256	121	506	429	77	110	19	2	4	145	30	10	2	Outfielder	2011	60	3	5	88	7	0.338	0.353	0.691	23	0.215	0.667	25	136	97	1.4	0	0.68	4.18	0.082	55.8	0.243
5	이영욱	삼성	0.232	111	234	203	37	47	9	3	3	71	20	3	3	Outfielder	2011	21	0	4	68	1	0.35	0.312	0.662	11	0.155	0.077	15	48	43	1.12	0	0.31	3.79	0.118	25.3	0.228
6	정형식	삼성	0.23	52	88	74	9	17	3	0	1	23	5	2	0	Outfielder	2011	12	0	0	15	0	0.311	0.337	0.648	2	0.15	0	4	20	22	0.91	0	0.8	4.06	0.081	8.8	0.229
7	오정복	삼성	0.192	24	28	26	4	5	1	0	0	6	3	1	0	Outfielder	2011	1	0	0	6	0	0.231	0.222	0.453	2	0.25	0	1	4	11	0.36	0	0.17	3.82	0.038	1.2	0.158
8	김헌곤	삼성	0.083	11	12	12	0	1	0	0	0	1	0	0	0	Outfielder	2011	0	0	0	6	0	0.083	0.083	0.166	0	0	0.25	0	3	2	1.5	0	0	4.67	0	-0.5	0.058
9	김종호	삼성	0	2	1	1	0	0	0	0	0	0	0	0	0	Outfielder	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	2	0	-0.1	0
1	신경현	한화	0.266	103	267	233	18	62	9	0	1	74	27	7	2	Catcher	2011	23	0	2	50	7	0.318	0.335	0.653	13	0.269	0.2	10	73	50	1.46	0	0.46	3.84	0.052	24.7	0.23
2	박노민	한화	0.25	37	81	72	10	18	3	0	2	27	11	2	0	Catcher	2011	6	0	1	16	1	0.375	0.316	0.691	1	0.261	0.429	5	20	18	1.11	0	0.38	3.91	0.125	8.8	0.236
3	나성용	한화	0.237	27	42	38	4	9	3	0	2	18	7	0	0	Catcher	2011	4	0	0	15	1	0.474	0.31	0.784	1	0.333	0.143	5	6	8	0.75	0	0.27	3.71	0.237	5.3	0.258
4	이희근	한화	0.236	75	138	123	17	29	3	1	1	37	10	8	0	Catcher	2011	4	0	3	26	2	0.301	0.277	0.578	7	0.172	0.167	5	37	31	1.19	0	0.15	3.56	0.065	10.1	0.2
1	이대수	한화	0.301	122	420	366	46	110	16	3	8	156	50	14	4	Infielder	2011	31	0	5	64	5	0.426	0.36	0.786	26	0.306	0.2	27	95	101	0.94	0	0.48	4.08	0.126	55.4	0.269
2	한상훈	한화	0.269	131	485	398	49	107	12	3	3	134	39	33	2	Infielder	2011	46	1	6	66	6	0.337	0.352	0.689	26	0.29	0	18	141	86	1.64	0	0.7	3.64	0.068	51	0.243
3	정원석	한화	0.25	82	291	248	23	62	11	0	4	85	26	5	0	Infielder	2011	32	1	6	58	7	0.343	0.35	0.693	14	0.309	0	15	73	55	1.33	0	0.55	3.98	0.093	30	0.243
4	장성호	한화	0.244	116	478	390	53	95	13	0	8	132	37	3	0	Infielder	2011	81	2	4	66	9	0.338	0.379	0.717	20	0.232	0	21	108	121	0.89	0	1.23	4.23	0.095	54.4	0.255
